CASENUM,PSU,PSU_VAR,PSUSTRAT,REGION,REGIONNAME,URBANICITY,URBANICITYNAME,STRATUM,STRATUMNAME,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,MONTHNAME,DAY_WEEK,DAY_WEEKNAME,WKDY_IM,WKDY_IMNAME,YEAR,YEARNAME,HOUR,HOURNAME,HOUR_IM,HOUR_IMNAME,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,HARM_EVNAME,EVENT1_IM,EVENT1_IMNAME,MAN_COLL,MAN_COLLNAME,MANCOL_IM,MANCOL_IMNAME,RELJCT1,RELJCT1NAME,RELJCT1_IM,RELJCT1_IMNAME,RELJCT2,RELJCT2NAME,RELJCT2_IM,RELJCT2_IMNAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,LGTCON_IM,LGTCON_IMNAME,WEATHER,WEATHERNAME,WEATHR_IM,WEATHR_IMNAME,SCH_BUS,SCH_BUSNAME,INT_HWY,INT_HWYNAME,MAX_SEV,MAX_SEVNAME,MAXSEV_IM,MAXSEV_IMNAME,NUM_INJ,NUM_INJNAME,NO_INJ_IM,NO_INJ_IMNAME,ALCOHOL,ALCOHOLNAME,ALCHL_IM,ALCHL_IMNAME
202304632910,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,0,1,1,0,1,1,January,1,Sunday,1,Sunday,2023,2023,3,3:00am-3:59am,3,3:00am-3:59am,0,0,0,0,53,Mail Box,53,Mail Box,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,No,0,No,1,Non-Junction,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,6,Dark - Unknown Lighting,6,Dark - Unknown Lighting,1,Clear,1,Clear,0,No,0,No,9,Unknown/Not Reported,0,No Apparent Injury (O),99,All Persons in Crash are Unknown If Injured,0,No Person Injured/Property Damage Only Crash,9,Reported as Unknown,2,No Alcohol Involved
202304632916,77,77,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,10,Stratum 10 - Other,4151,217.37927863,0,0,2,1,1,1,1,January,1,Sunday,1,Sunday,2023,2023,7,7:00am-7:59am,7,7:00am-7:59am,51,51,51,51,14,Parked Motor Vehicle,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,No,0,No,1,Non-Junction,1,Non-Junction,1,Not an Intersection,7,In Parking Lane/Zone,0,,2,Dark - Not Lighted,2,Dark - Not Lighted,1,Clear,1,Clear,0,No,0,No,9,Unknown/Not Reported,0,No Apparent Injury (O),99,All Persons in Crash are Unknown If Injured,0,No Person Injured/Property Damage Only Crash,9,Reported as Unknown,2,No Alcohol Involved
202304635310,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,91,223.42002683,0,0,2,2,0,4,1,January,1,Sunday,1,Sunday,2023,2023,14,2:00pm-2:59pm,14,2:00pm-2:59pm,0,0,0,0,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,6,Angle,6,Angle,0,No,0,No,2,Intersection,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,1,Daylight,1,Daylight,1,Clear,1,Clear,0,No,0,No,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured/Property Damage Only Crash,0,No Person Injured/Property Damage Only Crash,2,No Alcohol Involved,2,No Alcohol Involved
202304635315,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,3,Stratum 3 - Motorcycle Any Injury,91,25.966354942,0,0,2,2,0,3,1,January,1,Sunday,1,Sunday,2023,2023,18,6:00pm-6:59pm,18,6:00pm-6:59pm,54,54,54,54,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Front-to-Rear,0,No,0,No,8,Driveway Access Related,8,Driveway Access Related,1,Not an Intersection,1,On Roadway,0,,3,Dark - Lighted,3,Dark - Lighted,1,Clear,1,Clear,0,No,0,No,1,Possible Injury (C),1,Possible Injury (C),1,1,1,1,2,No Alcohol Involved,2,No Alcohol Involved
202304635387,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,87,134.13956402,0,0,3,3,0,5,1,January,1,Sunday,1,Sunday,2023,2023,17,5:00pm-5:59pm,17,5:00pm-5:59pm,35,35,35,35,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Front-to-Rear,0,No,0,No,3,Intersection-Related,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,,2,Dark - Not Lighted,2,Dark - Not Lighted,1,Clear,1,Clear,0,No,0,No,1,Possible Injury (C),1,Possible Injury (C),1,1,1,1,9,Reported as Unknown,2,No Alcohol Involved
202304635547,70,70,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,8,Stratum 8 - NLMY PV Minor Injury,46,130.17867369,0,0,1,1,0,1,1,January,1,Sunday,1,Sunday,2023,2023,1,1:00am-1:59am,1,1:00am-1:59am,20,20,20,20,34,Ditch,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,No,0,No,1,Non-Junction,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,2,Dark - Not Lighted,2,Dark - Not Lighted,1,Clear,1,Clear,0,No,0,No,1,Possible Injury (C),1,Possible Injury (C),1,1,1,1,2,No Alcohol Involved,2,No Alcohol Involved
202304635551,70,70,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,3,Stratum 3 - Motorcycle Any Injury,46,26.785767508,0,0,2,2,0,3,1,January,1,Sunday,1,Sunday,2023,2023,12,12:00pm-12:59pm,12,12:00pm-12:59pm,58,58,58,58,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,6,Angle,6,Angle,0,No,0,No,2,Intersection,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,1,Daylight,1,Daylight,1,Clear,1,Clear,0,No,0,No,2,Suspected Minor Injury (B),2,Suspected Minor Injury (B),1,1,1,1,2,No Alcohol Involved,2,No Alcohol Involved
202304635552,70,70,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,9,Stratum 9 - LMY PV No Injuries in Crash,138,138.11173411,0,0,2,2,0,5,1,January,1,Sunday,1,Sunday,2023,2023,11,11:00am-11:59am,11,11:00am-11:59am,42,42,42,42,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,6,Angle,6,Angle,0,No,0,No,8,Driveway Access Related,8,Driveway Access Related,1,Not an Intersection,1,On Roadway,0,,1,Daylight,1,Daylight,10,Cloudy,10,Cloudy,0,No,0,No,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured/Property Damage Only Crash,0,No Person Injured/Property Damage Only Crash,2,No Alcohol Involved,2,No Alcohol Involved
202304635741,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4139,141.34570405,0,0,2,2,0,3,1,January,1,Sunday,1,Sunday,2023,2023,7,7:00am-7:59am,7,7:00am-7:59am,45,45,45,45,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,6,Angle,6,Angle,0,No,0,No,2,Intersection,2,Intersection,3,T-Intersection,1,On Roadway,0,,1,Daylight,1,Daylight,5,"Fog, Smog, Smoke",5,"Fog, Smog, Smoke",0,No,0,No,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured/Property Damage Only Crash,0,No Person Injured/Property Damage Only Crash,2,No Alcohol Involved,2,No Alcohol Involved
202304635757,12,12,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4142,222.0578669,0,0,1,1,0,1,1,January,1,Sunday,1,Sunday,2023,2023,0,0:00am-0:59am,0,0:00am-0:59am,0,0,0,0,34,Ditch,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,No,0,No,1,Non-Junction,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,6,Dark - Unknown Lighting,6,Dark - Unknown Lighting,10,Cloudy,10,Cloudy,0,No,0,No,9,Unknown/Not Reported,0,No Apparent Injury (O),99,All Persons in Crash are Unknown If Injured,0,No Person Injured/Property Damage Only Crash,9,Reported as Unknown,2,No Alcohol Involved
