CASENUM,VE_FORMS,VEH_NO,PER_NO,PSU,PSU_VAR,PSUSTRAT,REGION,REGIONNAME,URBANICITY,URBANICITYNAME,STRATUM,STRATUMNAME,PJ,WEIGHT,MONTH,MONTHNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,SCH_BUS,SCH_BUSNAME,MOD_YEAR,MOD_YEARNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,MAKENAME,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TOW_VEH,TOW_VEHNAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,ROLLOVER,ROLLOVERNAME,IMPACT1,IMPACT1NAME,FIRE_EXP,FIRE_EXPNAME,MAK_MOD,MAK_MODNAME,AGE,AGENAME,AGE_IM,AGE_IMNAME,SEX,SEXNAME,SEX_IM,SEX_IMNAME,PER_TYP,PER_TYPNAME,DEVTYPE,DEVTYPENAME,DEVMOTOR,DEVMOTORNAME,INJ_SEV,INJ_SEVNAME,INJSEV_IM,INJSEV_IMNAME,SEAT_POS,SEAT_POSNAME,SEAT_IM,SEAT_IMNAME,REST_USE,REST_USENAME,REST_MIS,REST_MISNAME,HELM_USE,HELM_USENAME,HELM_MIS,HELM_MISNAME,AIR_BAG,AIR_BAGNAME,EJECTION,EJECTIONNAME,EJECT_IM,EJECT_IMNAME,DRINKING,DRINKINGNAME,PERALCH_IM,PERALCH_IMNAME,ALC_STATUS,ALC_STATUSNAME,ATST_TYP,ATST_TYPNAME,ALC_RES,ALC_RESNAME,DRUGS,DRUGSNAME,HOSPITAL,HOSPITALNAME,STR_VEH,LOCATION,LOCATIONNAME
202304632910,1,1,1,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,1,January,3,3:00am-3:59am,0,0,53,Mail Box,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,No,9999.0,Unknown,99999.0,Unknown,99999.0,Unknown,999.0,Unknown,99.0,Unknown Make,99.0,Unknown body type,0.0,Not Applicable,98.0,Not Reported,98.0,Not Reported,0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,99.0,Reported as Unknown,0.0,No or Not Reported,99999.0,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",998,Not Reported,80,80 Years,8,Not Reported,1,Male,1,Driver of a Motor Vehicle In-Transport,,,,,9,Unknown/Not Reported,0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",98,Not Reported,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,98,Not Reported,0,Not Ejected,0,Not Ejected,8,Not Reported,0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304632916,1,2,1,77,77,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,10,Stratum 10 - Other,4151,217.37927863,1,January,7,7:00am-7:59am,51,51,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,0,No,9999.0,Unknown,99999.0,Unknown,99999.0,Unknown,999.0,Unknown,99.0,Unknown Make,99.0,Unknown body type,0.0,Not Applicable,98.0,Not Reported,98.0,Not Reported,0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,99999.0,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",998,Not Reported,26,26 Years,8,Not Reported,2,Female,1,Driver of a Motor Vehicle In-Transport,,,,,9,Unknown/Not Reported,0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",99,Reported as Unknown,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,99,Reported as Deployment Unknown,0,Not Ejected,0,Not Ejected,8,Not Reported,0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635310,2,1,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,91,223.42002683,1,January,14,2:00pm-2:59pm,0,0,12,Motor Vehicle In-Transport,6,Angle,0,No,2002.0,2002,460.0,Ford,1804.0,Explorer Sport Trac,60.0,Pickup,12.0,Ford,34.0,Light Pickup,0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,5.0,5 Clock Point,0.0,No or Not Reported,12473.0,Ford Explorer Sport Trac,42,42 Years,42,42 Years,1,Male,1,Male,1,Driver of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Not Ejected,0,No (Alcohol Not Involved),0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,0,No (drugs not involved),0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635310,2,2,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,91,223.42002683,1,January,14,2:00pm-2:59pm,0,0,12,Motor Vehicle In-Transport,6,Angle,0,No,2011.0,2011,499.0,Kia,2769.0,Sorento,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),63.0,KIA,14.0,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,63402.0,KIA Sorento,34,34 Years,34,34 Years,2,Female,2,Female,1,Driver of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Not Ejected,0,No (Alcohol Not Involved),0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,0,No (drugs not involved),0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635310,2,2,2,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,91,223.42002683,1,January,14,2:00pm-2:59pm,0,0,12,Motor Vehicle In-Transport,6,Angle,0,No,2011.0,2011,499.0,Kia,2769.0,Sorento,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),63.0,KIA,14.0,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,63402.0,KIA Sorento,999,Reported as Unknown,26,26 Years,1,Male,1,Male,2,Passenger of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),13,"Front Seat, Right Side",13,"Front Seat, Right Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Not Ejected,8,Not Reported,0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635310,2,2,3,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,91,223.42002683,1,January,14,2:00pm-2:59pm,0,0,12,Motor Vehicle In-Transport,6,Angle,0,No,2011.0,2011,499.0,Kia,2769.0,Sorento,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),63.0,KIA,14.0,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,63402.0,KIA Sorento,999,Reported as Unknown,8,8 Years,1,Male,1,Male,2,Passenger of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),21,"Second Seat, Left Side",21,"Second Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Not Ejected,8,Not Reported,0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635315,2,1,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,3,Stratum 3 - Motorcycle Any Injury,91,25.966354942,1,January,18,6:00pm-6:59pm,54,54,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,2009.0,2009,460.0,Ford,1802.0,Flex,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12.0,Ford,6.0,Station Wagon (excluding van and truck based),0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,12025.0,Ford Flex,29,29 Years,29,29 Years,2,Female,2,Female,1,Driver of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Not Ejected,0,No (Alcohol Not Involved),0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,0,No (drugs not involved),0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635315,2,2,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,3,Stratum 3 - Motorcycle Any Injury,91,25.966354942,1,January,18,6:00pm-6:59pm,54,54,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,2008.0,2008,509.0,Suzuki,3397.0,GSX650F,98.0,Motorcycle - Street,53.0,Suzuki,80.0,Two Wheel Motorcycle (excluding motor scooters),0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,8.0,Not Applicable,6.0,6 Clock Point,0.0,No or Not Reported,53705.0,Suzuki 450-749cc,37,37 Years,37,37 Years,1,Male,1,Male,1,Driver of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,19,"Helmet, Unknown if DOT-Compliant",0,No Indication of Misuse,20,Not Deployed,8,Not Applicable,8,Not Applicable,0,No (Alcohol Not Involved),0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,0,No (drugs not involved),0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
202304635315,2,2,2,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,3,Stratum 3 - Motorcycle Any Injury,91,25.966354942,1,January,18,6:00pm-6:59pm,54,54,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,2008.0,2008,509.0,Suzuki,3397.0,GSX650F,98.0,Motorcycle - Street,53.0,Suzuki,80.0,Two Wheel Motorcycle (excluding motor scooters),0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,8.0,Not Applicable,6.0,6 Clock Point,0.0,No or Not Reported,53705.0,Suzuki 450-749cc,13,13 Years,13,13 Years,2,Female,2,Female,2,Passenger of a Motor Vehicle In-Transport,,,,,1,Possible Injury (C),1,Possible Injury (C),21,"Second Seat, Left Side",21,"Second Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,19,"Helmet, Unknown if DOT-Compliant",0,No Indication of Misuse,20,Not Deployed,8,Not Applicable,8,Not Applicable,8,Not Reported,0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,5,EMS Ground,0,0,Occupant of a Motor Vehicle
202304635387,3,1,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,87,134.13956402,1,January,17,5:00pm-5:59pm,35,35,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,2011.0,2011,474.0,Honda,1861.0,Accord,3.0,Coupe,37.0,Honda,2.0,"2-door sedan,hardtop,coupe",0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special Use Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,37032.0,"Honda Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",26,26 Years,26,26 Years,1,Male,1,Male,1,Driver of a Motor Vehicle In-Transport,,,,,0,No Apparent Injury (O),0,No Apparent Injury (O),11,"Front Seat, Left Side",11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,1,Deployed- Front,0,Not Ejected,0,Not Ejected,0,No (Alcohol Not Involved),0,No (Alcohol Not Involved),0,Test Not Given,0,Test Not Given,996,Test Not Given,0,No (drugs not involved),0,Not Transported for Treatment,0,0,Occupant of a Motor Vehicle
