CASENUM,VEH_NO,MAKE,MAKENAME,MOD_YEAR,MODEL,BODY_TYP,BODY_TYPNAME,VPICBODYCLASS,VPICBODYCLASSNAME,IMPACT1,IMPACT1NAME,P_CRASH1,P_CRASH1NAME,ACC_CONFIG,ACC_CONFIGNAME,VSPD_LIM,TRAV_SP,ROLLOVER,ROLLOVERNAME,NUMOCCS,VSURCOND,VSURCONDNAME,VEH_ALCH,VEH_ALCHNAME,AIRBAGS_DEPLOYED_COUNT,TOTAL_OCCUPANTS,DEPLOYMENT_RATE,AVG_AGE,PREDOMINANT_SEX,MAX_INJURY_SEV,ANY_DRINKING,ANY_ALCOHOL,FRONT_MOST_SEAT_POS,ANY_UNRESTRAINED,MAX_EJECTION,ALL_AIRBAGS_DEPLOYED,REGIONNAME,URBANICITYNAME,MONTH,MONTHNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WEATHER,WEATHERNAME,LGT_COND,LGT_CONDNAME,NUM_INJ,VEHICLE_AGE,FRONTAL_IMPACT,HIGH_SPEED_CRASH,MIN_AIRBAG_SPEED,CRASH_SEVERITY_INDEX,predicted_target,predicted_probability,actual
202305372911,1,20,Chevrolet,2014,37,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",45,40,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,19.0,2,0,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Rural Area,10,October,2,Monday,2023,16,4:00pm-4:59pm,31,31,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,10,Cloudy,1,Daylight,1,9,1,1,1,13.333333333333334,0,0.3637933,0
202305563083,1,35,Nissan/Datsun,2012,401,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",8,Crossover Utility Vehicle (CUV),12,12 Clock Point,1,Going Straight,415,"Changing Trafficway, Vehicle Turning-Turn Into Path, Turn into Opposite Directions [Going Straight, Other Vehicle Turning Left]",98,30,0,No Rollover,1,98,Not Reported,2,No Alcohol Involved,0,1,0.0,68.0,1,0,0,8,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,11,November,7,Saturday,2023,16,4:00pm-4:59pm,0,0,12,Motor Vehicle In-Transport,2,Front-to-Front,3,T-Intersection,1,On Roadway,1,Clear,1,Daylight,0,11,1,0,1,10.0,0,0.47085908,0
202305019954,1,35,Nissan/Datsun,2018,50,4,"4-door sedan, hardtop",13,Sedan/Saloon,5,5 Clock Point,1,Going Straight,502,"Intersecting Paths-Straight Paths, Struck on the Right",25,25,0,No Rollover,1,98,Not Reported,2,No Alcohol Involved,0,1,0.0,22.0,2,0,0,8,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,4,April,7,Saturday,2023,22,10:00pm-10:59pm,20,20,12,Motor Vehicle In-Transport,6,Angle,2,Four-Way Intersection,1,On Roadway,1,Clear,3,Dark - Lighted,0,5,1,0,1,8.333333333333332,0,0.46817997,0
202304750573,2,20,Chevrolet,2006,37,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",35,25,0,No Rollover,1,1,Dry,9,Reported as Unknown,0,1,0.0,18.0,1,0,8,0,11,0,0,0,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",Urban Area,2,February,5,Thursday,2023,18,6:00pm-6:59pm,23,23,12,Motor Vehicle In-Transport,1,Front-to-Rear,2,Four-Way Intersection,1,On Roadway,1,Clear,3,Dark - Lighted,1,17,1,0,1,8.333333333333332,0,0.22303005,0
202304921455,1,7,Dodge,2012,422,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12 Clock Point,1,Going Straight,103,Single Driver-Struck Object While Moving Forward,25,10,0,No Rollover,3,1,Dry,9,Reported as Unknown,0,3,0.0,16.0,2,0,8,8,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,4,April,6,Friday,2023,15,3:00pm-3:59pm,24,24,15,Non-Motorist on Personal Conveyance,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,2,Four-Way Intersection,1,On Roadway,10,Cloudy,1,Daylight,1,11,1,0,0,3.333333333333333,0,0.009650797,0
202305222328,1,49,Toyota,2006,40,4,"4-door sedan, hardtop",13,Sedan/Saloon,3,3 Clock Point,2,Decelerating in Road,207,"Same Trafficway, Same Direction-Sideswipe, Angle, Vehicle on Left",65,65,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,30.0,2,1,0,0,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,8,August,6,Friday,2023,4,4:00am-4:59am,45,45,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,1,Not an Intersection,1,On Roadway,1,Clear,4,Dawn,2,17,1,1,1,30.0,0,0.15302508,0
202304817049,1,35,Nissan/Datsun,2021,56,5,5-door/4-door hatchback,5,Hatchback/Liftback/Notchback,1,1 Clock Point,17,Successful Avoidance Maneuver to a Previous Critical Event,207,"Same Trafficway, Same Direction-Sideswipe, Angle, Vehicle on Left",65,53,0,No Rollover,2,1,Dry,2,No Alcohol Involved,0,2,0.0,52.0,1,1,8,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,2,February,6,Friday,2023,13,1:00pm-1:59pm,46,46,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,1,2,1,1,1,26.0,0,0.106276155,0
202305063811,2,84,International Harvester/Navistar,2018,881,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",11,Truck,12,12 Clock Point,1,Going Straight,203,"Same Trafficway, Same Direction-Rear End, Other or Unknown",40,30,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,62.0,1,0,0,8,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,4,April,3,Tuesday,2023,13,1:00pm-1:59pm,45,45,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,10,Cloudy,1,Daylight,0,5,1,0,1,10.0,0,0.0044919676,0
202305228983,3,48,Subaru,2011,401,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,6 Clock Point,5,Stopped in Roadway,998,Other Crash Type,45,0,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,64.0,2,0,0,8,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,9,September,6,Friday,2023,12,12:00pm-12:59pm,45,45,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,98,Not Reported,1,Daylight,0,12,1,0,0,0.0,0,0.02433126,0
202305257450,1,37,Honda,2008,32,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,2,Decelerating in Road,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",45,35,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,25.0,1,0,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,9,September,5,Thursday,2023,17,5:00pm-5:59pm,7,7,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,0,15,1,1,1,11.666666666666666,0,0.33049044,0
